asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
ITS Asta Selezionata Yearling Trottatori 2025,1,LA CHANCE BI,DONATO HANOVER,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,3,LUSH D'ARC,VIVID WISE AS,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,4,LAW DI GIRIGFALCO,VARENNE,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,5,LEONE GLAMOUR,MAHARAJAH,45000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,6,LUNAPOP EFFE,BOCCADOR DE SIMM,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,7,LAMPARD GRIF,VICTOR GIO,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,8,LINUS BIG LAKSMY,THE BANK,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,9,LARRY WISE L,BIRD PARKER,10000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,10,LIBRARY AS,EL IDEAL,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,11,LOUISIANA BI,INTERNATIONAL MONI,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,12,LUSSO JET,NUNCIO,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,13,LIBRE DI POGGIO,BIRD PARKER,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,14,LUNARIO,EL IDEAL,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,15,LOVER WISE AS,NUNCIO,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,16,LATIN LOVER GAR,ALRAJAH ONE,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,17,LUCIO BLUE GRIF,NAD AL SHEBA,27000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,19,LOUISIANA KB TREB,MAHARAJAH,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,20,LUDOVICA JET,MAHARAJAH,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,21,LOU LOU D'ARC,DON FANUCCI ZET,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,23,LILIBETH GRIF,MAHARAJAH,70000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,24,LISIPPA DEGLI DEI,INTERNATIONAL MONI,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,25,L'AS WISE AS,FABULOUS WOOD,15000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,26,LAST DANCE BI,INTERNATIONAL MONI,15000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,27,LUXOR LAKSMY,NAD AL SHEBA,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,28,LUXURY GIO,IDEAL DU POMMEAU,70000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,29,LOVE STORY GAR,GREENSHOE,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,30,LIGABUE JET,CALGARY GAMES,34000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,31,LOWELL DI POGGIO,INTERNATIONAL MONI,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,32,LUSSO GLAMOUR,MAHARAJAH,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,33,LUXIO,VERNISSAGE GRIF,31000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,34,LADY HAWK FONT,IDAO DE TILLARD,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,35,LOVELY WISE L,FATHER PATRICK,32000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,36,LINCE KILLER GAR,RINGOSTAR TREB,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,37,LORENZ AS,REBUFF,19000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,38,LET ME BI,REBUFF,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,39,LAP DI GIRIFALCO,NAD AL SHEBA,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,40,LADY BLUE ZANETTI,TACTICAL LANDING,35000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,41,LEMON FAS,NAD AL SHEBA,18000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,42,LIRA WISE AS,ALRAJAH ONE,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,44,LISBONA JET,WISHING STONE,12000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,45,LUCKY WIND,FATHER PATRICK,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,46,LIANOR J FIOR,VOL STEAD,7000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,47,LAUREEN DI POGGIO,BAR HOPPING,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,48,LION WINNER AM,EL IDEAL,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,49,LAERTE DEGLI DEI,EL IDEAL,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,50,LARISSA BI,DONATO HANOVER,16000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,51,LIONHEARTH ROAD,FATHER PATRICK,19000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,52,LIVE BIG LAKSMY,NAD AL SHEBA,16000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,53,LUPO JET,DONATO HANOVER,22000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,54,LEONARD GAR,GREENSHOE,90000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,55,LEVIS AS,BAR HOPPING,19000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,56,LOTTERIA,GREENSHOE,47000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,57,LEMOOR GIO,IDEAL DU POMMEAU,80000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,59,LASTSAMURAI FONT,ALRAJAH ONE,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,60,LAST CHANCE,READY CASH,210000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,61,LUNA EFFE,CALGARY GAMES,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,62,LIV DI POGGIO,BAR HOPPING,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,63,LUCKY GIRL BI,GOOGOO GAAGAA,25000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,64,LUPIN PAL,NAD AL SHEBA,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,65,LEAO BIG LAKSMY,FACE TIME BORBON,60000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,66,LANCIA AS,GIMPANZEE,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,67,LITIGIO,EL IDEAL,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,68,LUPO KILLER GAR,CAPTAIN COREY,100000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,69,LE PETIT JEPSON,MAHARAJAH,14000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,70,LIP DI GIRIFALCO,DONATO HANOVER,9000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,71,LA IDEAL WINNER,IDEAL DU POMMEAU,13000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,72,LINGOTTO BI,INTERNATIONAL MONI,17000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,73,LIVIA JET,MAHARAJAH,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,74,LUCIO VERO SP,VICTOR GIO,9000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,75,LOVE ME AGAIN GAR,CAPTAIN COREY,42000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,76,LINCOLN WISE AS,MAHARAJAH,62000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,77,LEADER GIO,IDEAL DU POMMEAU,150000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,78,LADY MACBETH FONT,MAHARAJAH,22000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,79,LILAH DI POGGIO,GIMPANZEE,70000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,80,LA CHICA POINT,VIVID WISE AS,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,81,LENNIE MAIL,NAD AL SHEBA,64000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,82,LHILL AS,MUSCLE HILL,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,83,LA BELLA WINNER,GREENSHOE,20000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,84,LANCILLOTTO GRIF,GREENSHOE,75000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,85,LEAR WISE L,MAHARAJAH,42000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,86,LALRAJAH ONE,MAHARAJAH,55000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,87,LOLLOBRIGIDA JET,CALGARY GAMES,26000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,88,LANE DI POGGIO,CAPTAIN COREY,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,89,LORD WISE AS,MAHARAJAH,75000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,89bis,LEONARD FERM,QUITE EASY,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,90,LUPIN DODA,MAHARAJAH,40000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,91,LIRIOPE DEGLI DEI,NAD AL SHEBA,38000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,92,LET IT BE GAR,FATHER PATRICK,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,93,LUNANERA FONT,RINGOSTAR TREB,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,94,LAERTE DI POGGIO,CANTAB HALL,19000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,95,LIFE STYLE BI,GIMPANZEE,105000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,96,LIPSIA,CALGARY GAMES,55000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,97,LILIBETCON,FATHER PATRICK,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,98,LINDSTROM AS,CAPTAIN COREY,38000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,99,LOVELY GAR,CAPTAIN COREY,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,100,LEONIDA DI POGGIO,MUSCLE HILL,95000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,101,LOVE BIG LAKSMY,NAD AL SHEBA,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,102,LEDA GRIF,VIVID WISE AS,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,103,LIVORNO JET,WISHING STONE,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,104,LANA MIL,BAR HOPPING,10000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,105,LEONIDA,MAHARAJAH,38000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,106,LORD VF,ALRAJAH ONE,24000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,107,LEWIS WISE AS,MAHARAJAH,170000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,108,LOVELY SAT,CALGARY GAMES,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,110,LEAO EFFE,NAD AL SHEBA,33000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,111,LATIN LOVER BI,INTERNATIONAL MONI,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,112,LE MONDE GAR,GOOGOO GAAGAA,15000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,113,LEONARDO JET,MAHARAJAH,34000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,114,LOTHARIO,MAHARAJAH,26000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,115,LANCASTER FAS,MAHARAJAH,12000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,116,LUNAROSSA AS,GIMPANZEE,57000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,117,LUXURY D'ARC,ALRAJAH ONE,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,118,LASS UNS LEBEN,MAHARAJAH,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,119,LEONARDO WISE L,FATHER PATRICK,26000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,120,LAPICCOLAROBY TOR,FATHER PATRICK,14000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,121,LIBERTY PAL,NAD AL SHEBA,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,122,L'ORO DEL BAR,RINGOSTAR TREB,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,123,LA FIESTA BI,GREEN MANALISHI,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,124,LEXINGTON AS,EL IDEAL,40000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,125,LAETUS DI POGGIO,MAHARAJAH,52000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,126,LYON ITALIA,ROBERT BI,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,127,LAVER WF,VARENNE,23000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,128,LONELY NIGHT GAR,VICTOR GIO,15000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,129,LIVE DI GIRIFALCO,MAHARAJAH,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,130,LADY BIG LAKSMY,INTERNATIONAL MONI,12000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,131,LORELEI DI POGGIO,BAR HOPPING,17000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,132,LIBIA,FATHER PATRICK,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,133,LOPEZ JET,READLY EXPRESS,19000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,134,LEMON KING AM,BIRD PARKER,32000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,136,LAPO SL,MAHARAJAH,10000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,137,LAST GIO,VICTOR GIO,24000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,138,LEAGUE WISE AS,MUSCLE HILL,130000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,140,LAMOUR BI,RESOLVE,19000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,142,L'IMPLACABILE GAR,SOUTHWIND FRANK,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,143,LAVINIA DEGLI DEI,VARENNE,43000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,145,LIBANO JET,WISHING STONE,17000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,146,LION BLUE,FATHER PATRICK,11000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,147,LARIMAR AS,MAHARAJAH,35000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,148,LOVING YOU BI,READLY EXPRESS,53000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,149,LORNE DI POGGIO,VARENNE,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,150,LUTARO MARTINEZ,TRIXTON,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,151,L'ETOILE GAR,VICTOR GIO,18000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,153,LAYTON,MAHARAJAH,27000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,154,LET'S GO BI,NAD AL SHEBA,36000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,155,LIFE WISE AS,MAHARAJAH,60000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,156,LUCHADORA D'ARC,NUNCIO,13000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,157,LIBELLULA GIO,TONY GIO,22000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,158,LAGOON WISE L,GOOGOO GAAGAA,8000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,159,LEONE JET,MAHARAJAH,28000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,160,LITIO,ECURIE D,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,161,LOVEMETENDER BI,RESOLVE,11000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,162,LAUREL WISE L,GIVEITGASANDGO,13000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,163,LAMYA DI POGGIO,NUNCIO,13000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,164,LIGHTING AS,SIX PACK,21000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,165,LUPIN BI,DONATO HANOVER,30000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,166,LINCOLN JET,CALGARY GAMES,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,167,LADY GIO,TONY GIO,25000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,168,LISTENER AS,EL IDEAL,19000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,169,LION WIND,FATHER PATRICK,7000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,170,LA BAMBA BI,MAHARAJAH,20000,no,ricomprato dal venditore,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
ITS Asta Selezionata Yearling Trottatori 2025,171,LONDRA JET,WISHING STONE,20000,si,,https://www.its-aste.com/aste/asta-selezionata-yearling-trottatori/
