asta,lotto,puledro,padre,prezzo_eur,venduto,motivo_non_venduto,fonte
"Asta ANACT yearlings, risultati ufficiali",103,MARY JET,ONAS PRINCE,17000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",151,MAORI BIG LAKSMY,NAD AL SHEBA,17000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",34,MUNK BIG LAKSMY,NAD AL SHEBA,17000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",80,MARSHALL BI,VICTOR GIO,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",77,MISTICA LUX,CALGARY GAMES,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",44,MAZZANO AS,TROLLEY,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",84,MONSIEUR GIO,VICTOR GIO,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",96,MACARENA FONT,BIRD PARKER F,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",30,MORRIGAN FONT,ALRAJAH ONE,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",82,MUSA DEGLI DEI,EL IDEAL,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",125,MIACON ART,RESOLVE,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",31,MATADOR STECCA,MAHARAJAH,16000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",67,MACADAMIA,VITRUVIO,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",91,MAN IN BLACK BI,DONATO HANOVER,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",43,MAFALDA GRIF,VERNISSAGE GRIF,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",20,MICOL GRIF,DONATO HANOVER,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",66,MOON AS,EL IDEAL,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",15,MENABREA FONT,RINGOSTARR TREB,15000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",41,MACHU PICCHU,FABULOUS WOOD,14000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",73,MANUELA GRIF,VICTOR GIO,14000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",70,MALACHITE FONT,MISTER F DAAG,14000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",3,MANITOU DI POGGIO,MAHARAJAH,14000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",156,MAROCCO JET,IGOR FONT,14000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",119,MARIPOSA GRIF,DONATO HANOVER,13000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",37,MATTEUS DI POGGIO,SIX PACK,13000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",62,MITICA JET,BENGURION JET,13000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",123,MERCEDES DODA,NAD AL SHEBA,13000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",9,MIO AMORE ART,HOHNECK,13000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",2,MAGIC MUSHROOM,READLY EXPRESS,13000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",150,MOLDAVIA,VIVID WISE AS,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",46,MORE EASY BI,DONATO HANOVER,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",81,MANFRED FERM,EVERY TIME BOURBON,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",4,MARAVILLA D'ARC,SOUTHWIND FRANK,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",74,MANHATTAN JET,TWISTER BI,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",124,MARILYN JET,MAHARAJAH,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",33,MASSIMO JET,JUSTICE,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",101,MAVERICK,EL IDEAL,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",118,MONDIAL VICTORY,BIRD PARKER F,12000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",86,MUGLER,MAHARAJAH,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",19,MAREA ZACK,SOUTHWIND FRANK,12000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",40,MARK DI GIRIFALCO,DONATO HANOVER,12000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",138,MAY BEE BI,BEPI BI,11000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",157,MAURICE FERM,DIMITRI FERM,11000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",129,MOONLIT DI POGGIO,DONATO HANOVER,11000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",11,MARCUS DI NO,NAD AL SHEBA,11000,no,acquirente uguale al venditore,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",69,MATADOR BI,BEPI BI,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",61,MERCEDES MSS,TESORO DEGLI DEI,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",51,MADEIRA LUX,MAHARAJAH,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",21,MAHARA AS,MAHARAJAH,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",128,MATADOR MIL,EL IDEAL,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",28,MAMBO BIG LAKSMY,VOLSTEAD,10000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",39,MILADYCON,ZACCARIA BAR,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",145,MOLVENO DI NO,NAD AL SHEBA,10000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",68,MINOU GIO,VICTOR GIO,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",102,MELODY DEGLI DEI,EL IDEAL,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",18,MITO ZACK,SOUTHWIND FRANK,10000,no,nessun acquirente,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",8,MAVERIC ZIL,EL IDEAL,10000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",93,MALIBU' BI,BEPI BI,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",141,MATILDE GRIF,DONATO HANOVER,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",17,MORGANA LUX,NAD AL SHEBA,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
"Asta ANACT yearlings, risultati ufficiali",126,MORFEO JET,BENGURION JET,9000,si,,https://www.gaet.it/notizie/daily/asta-anact-risultati-ufficiali
